 	Lysis Plate Batch	dNTP.batch	oligodT.order.no	plate.type	preparation.site	date.prepared	date.sorted	tissue	subtissue	mouse.id	FACS.selection	nozzle.size	FACS.instument	Experiment ID 	Columns sorted	Double check	Plate	Location 	Comments
MAA000055	NA	402480/444245	12427002	Biorad HSP3841	Biohub	170515	170522	Fat	SCAT	30_1_M	Multiple	100	SIM1	exp2				MACA2_12	
MAA000056	NA	402480/444246	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Hippocampus	30_1_M	Neurons	130	SIM1	exp2				MACA2_12	
MAA000057	NA	402480/444247	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cortex	30_1_M	Microglia	100	SIM1	exp2				MACA2_12	
MAA000058	NA	402480/444248	12427002	Biorad HSP3841	Biohub	170515	170522	Pancreas	Exocrine	30_1_M	Viable	100	SIM1	exp2				MACA3_2	
MAA000059	NA	402480/444249	12427002	Biorad HSP3841	Biohub	170515	170522	Pancreas	Endocrine	30_1_M	Viable	100	SIM1	exp2				MACA2_12	
MAA000060	NA	402480/444250	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Striatum	30_1_M	Microglia	100	SIM1	exp2					
MAA000061	NA	402480/444251	12427002	Biorad HSP3841	Biohub	170515	170522	Fat	MAT	30_1_M	Multiple	100	SIM1	exp2				MACA4_5	
MAA000062	NA	402480/444252	12427002	Biorad HSP3841	Biohub	170515	170522	Heart	LA	30_1_M	Viable	100	SIM1	exp2					
MAA000063	NA	402480/444253	12427002	Biorad HSP3841	Biohub	170515	170522	Heart	RA	30_1_M	Viable	100	SIM1	exp2				MACA3_2	
MAA000064	NA	402480/444254	12427002	Biorad HSP3841	Biohub	170515	170522	Lung	Epithelium	30_1_M	Multiple		Aria, Beckman	exp2				MACA2_13	
MAA000065	NA	402480/444255	12427002	Biorad HSP3841	Biohub	170515	170522	Lung	Endothelium	30_1_M	Multiple		Aria, Beckman	exp2				MACA2_13	
MAA000066	NA	402480/444256	12427002	Biorad HSP3841	Biohub	170515	170522	Lung	Mesenchyme	30_1_M	Multiple		Aria, Beckman	exp2				MACA4_5	
MAA000067	NA	402480/444257	12427002	Biorad HSP3841	Biohub	170515													
MAA000068	NA	402480/444258	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Striatum	30_1_M	Neurons	130	SIM1	exp2				MACA3_2	
MAA000069	NA	402480/444259	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Hippocampus	30_1_M	Microglia	100	SIM1	exp2				MACA2_12	
MAA000070	NA	402480/444260	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cerebellum	30_1_M	Neurons	130	SIM1	exp2				MACA3_2	
MAA000071	NA	402480/444261	12427002	Biorad HSP3841	Biohub	170515	170517	Mammary Gland	NA	24_1_M	Stromal(I)	100	SIM1	exp1			1	MACA2_9	
MAA000072	NA	402480/444262	12427002	Biorad HSP3841	Biohub	170515	170517	Heart	LV	24_1_M	Viable	100	SIM1	exp1					
MAA000073	NA	402480/444263	12427002	Biorad HSP3841	Biohub	170515	170517	Heart	RV	24_1_M	Viable	100	SIM1	exp1				MACA2_9	
MAA000074	NA	402480/444264	12427002	Biorad HSP3841	Biohub	170515	170517	Heart	LA(1-13),RA(14-22)	24_1_M	Viable	100	SIM1	exp1				MACA2_9	
MAA000075	NA	402480/444265	12427002	Biorad HSP3841	Biohub	170515	170517	Heart	Aorta(1-12), RA(13-17)	24_1_M	Viable	100	SIM1	exp1			1	MACA2_9	
MAA000076	NA	402480/444266	12427002	Biorad HSP3841	Biohub	170515	170517	Mammary Gland	NA	24_1_M	Luminal(E)	100	SIM1	exp1				MACA2_10	
MAA000077	NA	402480/444267	12427002	Biorad HSP3841	Biohub	170515	170517	Mammary Gland	NA	24_1_M	MRUs(F)	100	SIM1	exp1					
MAA000078	NA	402480/444268	12427002	Biorad HSP3841	Biohub	170515	170517	Mammary Gland	NA	24_1_M	MRUs(F)	100	SIM1	exp1				MACA2_10	
MAA000079	NA	402480/444269	12427002	Biorad HSP3841	Biohub	170515													
MAA000080	NA	402480/444270	12427002	Biorad HSP3841	Biohub	170515	170517	Mammary Gland	NA	24_1_M	Basal(H)	100	SIM1	exp1				MACA2_9	
MAA000081	NA	402480/444271	12427002	Biorad HSP3841	Biohub	170515	170522	Heart	LV	30_1_M	Viable	100	SIM1	exp2				MACA2_12	
MAA000082	NA	402480/444272	12427002	Biorad HSP3841	Biohub	170515	170522	Heart	RV	30_1_M	Viable	100	SIM1	exp2				MACA4_5	
MAA000083	NA	402480/444273	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Striatum	30_1_M	Neurons	130	SIM1	exp2				MACA2_12	
MAA000084	NA	402480/444274	12427002	Biorad HSP3841	Biohub	170515	170522	Heart	Aorta	30_1_M		130	SIM1	exp2				MACA3_2	
MAA000085	NA	402480/444275	12427002	Biorad HSP3841	Biohub	170515	170522	Fat	BAT	30_1_M	Multiple	100	SIM1	exp2				MACA2_12	
MAA000086	NA	402480/444276	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cortex	30_1_M	Neurons	130	SIM1	exp2				MACA2_12	
MAA000087	NA	402480/444277	12427002	Biorad HSP3841	Biohub	170515	170522	Marrow	Granulocytes	30_1_M	Sytox-Lin-Gr1loMac1+	100	Sony Clark	exp2				MACA3_12	
MAA000088	NA	402480/444278	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Cortex(1-8), Cerebellum(9-12), Striatum(13), Hippocampus(14)	24_1_M	Microglia	100	SIM1	exp1				MACA2_10	
MAA000089	NA	402480/444279	12427002	Biorad HSP3841	Biohub	170515	170517	Fat	GAT	24_1_M	Multiple	100	SIM1	exp1					
MAA000090	NA	402480/444280	12427002	Biorad HSP3841	Biohub	170515	170517	Fat	SCAT	24_1_M	Multiple	100	SIM1	exp1				MACA2_10	
MAA000091	NA	402480/444281	12427002	Biorad HSP3841	Biohub	170515	170522	Marrow	Granulocytes	30_1_M	Sytox-Lin-Gr1loMac1+	100	Sony Clark	exp2				MACA3_13	
MAA000092	NA	402480/444282	12427002	Biorad HSP3841	Biohub	170515	170522	Brain	Cortex	30_1_M	Neurons	130	SIM1	exp2				MACA4_5	
MAA000093	NA	402480/444283	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Brain stem	24_1_M	Neurons	130	SIM1	exp1					
MAA000094	NA	402480/444284	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Hippocampus	24_1_M	Neurons	130	SIM1	exp1					
MAA000095	NA	402480/444285	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Striatum	24_1_M	Neurons	130	SIM1	exp1				MACA2_10	
MAA000096	NA	402480/444286	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Cerebellum	24_1_M	Neurons	130	SIM1	exp1				MACA2_8	
MAA000097	NA	402480/444287	12427002	Biorad HSP3841	Biohub	170515	170517	Fat	BAT	24_1_M	Multiple	100	SIM1	exp1				MACA2_9	
MAA000098	NA	402480/444288	12427002	Biorad HSP3841	Biohub	170515	170517	Fat	MAT	24_1_M	Multiple	100	SIM1	exp1	1-15		1	MACA2_9	
MAA000099	NA	402480/444289	12427002	Biorad HSP3841	Biohub	170515	170517	Brain	Brain stem	24_1_M	Neurons	130	SIM1	exp1					
MAA000100	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	T-cells	30_1_M	Sytox-CD2+CD90mid/hi?	100	Sony Clark	exp2				MACA3_12	
MAA000101	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	T-cells	30_1_M	Sytox-CD2+CD90mid/hi?	100	Sony Clark	exp2				MACA3_13	
MAA000102	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	T-cells	30_1_M	Sytox-CD2+CD90mid/hi?	100	Sony Clark	exp2				MACA3_12	
MAA000103	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	T-cells	30_1_M	Sytox-CD2+CD90mid/hi?	100	Sony Clark	exp2				MACA4_1	
MAA000104	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Kidney	NA	30_2_M	PI -	100	Sony Clark	exp2				MACA4_1	
MAA000105	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Kidney	NA	30_2_M	PI -	100	Sony Clark	exp2				MACA3_12	
MAA000106	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Kidney	NA	30_2_M	PI -	100	Sony Clark	exp2				MACA3_12	
MAA000107	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Colon	Proximal	30_2_M	Multiple	100	Sony Clark	exp3			1		
MAA000108	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Colon	Proximal	30_2_M	Multiple	100	Sony Clark	exp3				MACA3_14	
MAA000109	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	KLS	30_2_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp3				MACA4_4	
MAA000110	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp2				MACA4_4	
MAA000111	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp2				MACA4_3	
MAA000112	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp2				MACA4_3	
MAA000113	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518													
MAA000114	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	B-cells	30_1_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp2			1	MACA2_13	
MAA000115	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	B-cells	30_1_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp2			2	MACA2_13	
MAA000116	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	B-cells	30_1_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp2			3	MACA2_12	
MAA000117	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	B-cells	30_1_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp2			4	MACA2_12	
MAA000118	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	Granulocytes	30_1_M	Sytox-Lin-Gr1hiMac1	100	Sony Clark	exp2				MACA3_12	
MAA000119	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	Granulocytes	30_1_M	Sytox-Lin-Gr1hiMac1	100	Sony Clark	exp2				MACA3_12	
MAA000120	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Kidney	NA	30_1_M	Viable	100		exp2			4	MACA2_13	
MAA000121	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Liver	Small cells	30_1_M	Hoechest, PI -	130	Sony Clark	exp2				MACA4_4	
MAA000122	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Proximal	30_1_M	Multiple	100	Sony Clark	exp2				MACA4_5	
MAA000123	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Proximal	30_1_M	Multiple	100	Sony Clark	exp2				MACA4_5	
MAA000124	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Proximal	30_1_M	Multiple	100	Sony Clark	exp2			3	MACA2_13	
MAA000125	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Proximal	30_1_M	Multiple	100	Sony Clark	exp2				MACA4_5	
MAA000126	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Distal	30_1_M	Multiple	100	Sony Clark	exp2				MACA4_4	
MAA000127	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Distal	30_1_M	Multiple	100	Sony Clark	exp2				MACA3_1	
MAA000128	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Colon	Distal	30_1_M	Multiple	100	Sony Clark	exp2				MACA4_3	
MAA000129	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170522	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp2				MACA3_13	
MAA000130	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524			30_3_M	Multiple		Aria, Beckman	exp4			3	MACA3_2	
MAA000131	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524			30_3_M	Multiple		Aria, Beckman	exp4			4	MACA3_2	
MAA000132	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Lung	NA	30_3_M	Multiple		Aria, Beckman	exp4			5	MACA3_2	 
MAA000133	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170525	Lung	NA	30_4_M	Multiple		Aria, Beckman	exp5			3	MACA2_11	
MAA000134	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Lung	NA	30_3_M	Multiple		Aria, Beckman	exp4			2	MACA3_2	
MAA000135	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Lung	Multiple	30_2_M	Multiple		Aria, Beckman	exp3				MACA2_13	
MAA000136	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Lung	Multiple	30_2_M	Multiple		Aria, Beckman	exp3				MACA4_1	
MAA000137	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Lung	Multiple	30_2_M	Multiple		Aria, Beckman	exp3					
MAA000138	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Lung	Multiple	30_2_M	Multiple		Aria, Beckman	exp3			3	MACA4_1	
MAA000139	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Lung	Multiple	30_3_M	Multiple		Aria, Beckman	exp4			1	MACA3_2	
MAA000140	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Heart	RV	30_2_M	PI -	100	Sony Clark	exp3			2		
MAA000141	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Heart	LA	30_2_M	PI -	100	Sony Clark	exp3				MACA3_11	
MAA000142	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Heart	RA	30_2_M	PI -	100	Sony Clark	exp3				MACA3_12	
MAA000143	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Heart	Aorta	30_2_M	PI -	100	Sony Clark	exp3				MACA4_2	
MAA000144	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Kidney	NA	30_2_M	PI -	100	Sony Clark	exp3					
MAA000145	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Spleen	NA	30_2_M	PI -	100	Sony Clark	exp3					
MAA000146	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Spleen	NA	30_2_M	PI -	100	Sony Clark	exp3				MACA3_13	
MAA000147	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Spleen	NA	30_2_M	PI -	100	Sony Clark	exp3				MACA3_13	
MAA000148	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Spleen	NA	30_2_M	PI -	100	Sony Clark	exp3				MACA3_12	
MAA000149	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Heart	LV	30_2_M	PI -	100	Sony Clark	exp3				MACA3_13	
MAA000150	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	Granulocytes	30_2_M	Sytox-Lin-Gr1hiMac1+	100	Sony Clark	exp3				MACA3_12	
MAA000151	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	Granulocytes	30_2_M	Sytox-Lin-Gr1loMac1+	100	Sony Clark	exp3				MACA3_11	
MAA000152	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	Granulocytes	30_2_M	Sytox-Lin-Gr1loMac1+	100	Sony Clark	exp3				MACA4_2	
MAA000153	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	B-cells	30_2_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp3					
MAA000154	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	B-cells	30_2_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp3				MACA4_2	
MAA000155	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	B-cells	30_2_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp3				MACA3_11	
MAA000156	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Marrow	B-cells	30_2_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp3				MACA4_2	
MAA000157	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170523	Skin	NA	30_2_M	FSC/BSC	100	Sony Clark	exp3			1		
MAA000158	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170526	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp6			2	MACA3_10	
MAA000159	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170526	Marrow	KLS	30_1_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp6			1	MACA3_6	
MAA000160	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	KLS	30_3_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp4			1	MACA3_3	
MAA000161	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	KLS	30_3_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp4			2	MACA3_3	
MAA000162	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	KLS	30_3_M	Sytox-Lin-Kit+Sca+	100	Sony Clark	exp4				MACA2_14	
MAA000163	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	B-cells	30_3_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp4				MACA3_1	
MAA000164	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	B-cells	30_3_M	Sytox-Ter119-B220+IgM+/-	100	Sony Clark	exp4				MACA3_1	
MAA000165	NA	490668/373509	12236139	Biorad HSP3801 384	STN_biohub	170518	170524	Marrow	T-cells	30_3_M	Sytox-CD2+CD90mid/hi?	100	Sony Clark	exp4				MACA3_1	
